price,nav-link,description,listing-location,bed,bath,carport,surface_area,building_area
"Rp 1,9 Miliar",https://www.rumah123.com/properti/sleman/hos17150584/,"Dijual Rumah Mewah 2 Lantai, Dekat Rs Jih Jogja, Siap Ajb","Condong Catur, Sleman",3,3,,128 m²,188 m²
"Rp 1,82 Miliar",https://www.rumah123.com/properti/yogyakarta/hos17150570/,Rumah Dijual di Yogyakarta,"Wirobrajan, Yogyakarta",3,2,1,140 m²,158 m²
Rp 756 Juta,https://www.rumah123.com/properti/sleman/hos17150505/,"Rumah Baru Dalam Perumahan Palagan Km.10, Akses Papasan","Mlati, Sleman",3,1,1,108 m²,60 m²
"Rp 2,2 Miliar",https://www.rumah123.com/properti/sleman/hos17150501/,Rumah Cantik 2 lantai dalam Ringroad Utara,"Depok, Sleman",4,2,1,406 m²,340 m²
"Rp 2,11 Miliar",https://www.rumah123.com/properti/sleman/hos17150471/,"Sertipikat Sudah Pecah, Bale Bhavana Residence, 15 Menit Kampus Umy","Mlati, Sleman",3,2,1,110 m²,107 m²
"Rp 3,87 Miliar",https://www.rumah123.com/properti/sleman/hos17150470/,"4 Menit Mall Sch, Unit Hampir Habis, Bale Wangsa","Mlati, Sleman",3,3,2,204 m²,142 m²
"Rp 3,23 Miliar",https://www.rumah123.com/properti/sleman/hos17150469/,"Rumah Dijual, 5 Menit Indogrosir, Automated Gate System","Mlati, Sleman",3,3,2,153 m²,135 m²
"Rp 1,8 Miliar",https://www.rumah123.com/properti/sleman/hos17150467/,"Rumah Baru 2 Lantai di Jalan Palagan, Sleman, Yogyakarta","Ngaglik, Sleman",3,3,2,128 m²,110 m²
"Rp 1,85 Miliar",https://www.rumah123.com/properti/sleman/hos17150415/,Villa Murah Tanah Luas Di Pakem Sleman,"Pakem, Sleman",2,2,1,683 m²,500 m²
Rp 875 Juta,https://www.rumah123.com/properti/sleman/hos17150410/,Rumah Cocok dibuat Kost dekat Hyatt Palagan,"Ngaglik, Sleman",8,2,1,100 m²,200 m²
"Rp 2,04 Miliar",https://www.rumah123.com/properti/sleman/hos17150278/,Perumahan 2 Lantai Private Pool Free Rumah Investasi di Sleman,"Gamping, Sleman",4,3,2,182 m²,135 m²
"Rp 1,5 Miliar",https://www.rumah123.com/properti/sleman/hos17150316/,Rumah dekat Mall SCH jalan Gitogati,"Mlati, Sleman",4,3,1,156 m²,120 m²
"Rp 1,4 Miliar",https://www.rumah123.com/properti/yogyakarta/hos17150284/,"Rumah Mewah Maguwo, Dalam Ringroad Jogja, Luas 174 M2","Maguwoharjo, Yogyakarta",3,2,1,174 m²,150 m²
"Rp 6,8 Miliar",https://www.rumah123.com/properti/sleman/hos17150232/,KOST EXCLUSIVE MODERN MAGUWO,"Depok, Sleman",21,21,4,250 m²,650 m²
"Rp 2,08 Miliar",https://www.rumah123.com/properti/kulon-progo/hos17150201/,Cluster Rumah dengan Kolam Renang Bonus Rumah Investasi,"Wates, Kulon Progo",4,3,2,186 m²,135 m²
Rp 5 Miliar,https://www.rumah123.com/properti/sleman/hos15938567/,Rumah Untuk Pasiv Income Lokasi Strategis Dkt Atmajaya Sanata Dharma Demangan Baru Sleman,"Depok, Sleman",5,3,1,219 m²,241 m²
"Rp 1,6 Miliar",https://www.rumah123.com/properti/sleman/hos17150160/,Rumah Strategis dalam perum jalan damai,"Ngaglik, Sleman",4,2,1,127 m²,150 m²
Rp 3 Miliar,https://www.rumah123.com/properti/sleman/hos14445979/,Rumah Mewah di Jogja Utara Dekat Dgn Jln Kaliurang Km 7 Sleman,"Ngaglik, Sleman",6,5,1,225 m²,400 m²
"Rp 2,3 Miliar",https://www.rumah123.com/properti/sleman/hos8557449/,"Rumah 2 Lantai Bagus Unfurnished Sertifikat Hak Milik di Ngaglik Sleman Yogyakarta, Sleman","Ngaglik, Sleman",4,4,,140 m²,200 m²
Rp 755 Juta,https://www.rumah123.com/properti/bantul/hos15370770/,Rumah Modern Minimalis Dlm Perum Dekat Ringroad Jl Wonosari,"Banguntapan, Bantul",2,1,1,101 m²,60 m²
Rp 2 Miliar,https://www.rumah123.com/properti/yogyakarta/hos14272265/,Rumah Besar dkt jalan Taman Siswa Cocok Rmh Tinggal Atau kost/homestay,"Mergangsan, Yogyakarta",5,2,3,393 m²,220 m²
"Rp 1,8 Miliar",https://www.rumah123.com/properti/sleman/hos17150062/,Kost dekat kampus UNY dan UGM,"Mlati, Sleman",10,4,4,123 m²,240 m²
Rp 25 Miliar,https://www.rumah123.com/properti/yogyakarta/hos17150032/,Guest House Murah Jogja Dekat Pura Pakualaman Dan Malioboro,"Pakualaman, Yogyakarta",9,9,3,429 m²,1000 m²
"Rp 2,8 Miliar",https://www.rumah123.com/properti/sleman/hos17149993/,"Kost eksklusif 10 kamar, Kentungan dekat UGM","Ngaglik, Sleman",10,10,2,137 m²,100 m²
Rp 950 Juta,https://www.rumah123.com/properti/sleman/hos17149975/,"Kost Modern Murah Cocok Untuk Bisnis di Berbah Dkt Pabrik, Kampus","Sleman, Sleman",4,4,2,90 m²,62 m²
"Rp 3,1 Miliar",https://www.rumah123.com/properti/yogyakarta/hos17149965/,Rumah Murah Jogja Dekat Jogja City Mall Sleman,"Sleman, Yogyakarta",7,4,,225 m²,300 m²
"Rp 1,45 Miliar",https://www.rumah123.com/properti/yogyakarta/hos17149942/,Rumah Baru Modern 2 Lantai Proses Bangun Di Mantrijeron Kodya,"Mantrijeron, Yogyakarta",3,2,1,110 m²,140 m²
Rp 790 Juta,https://www.rumah123.com/properti/bantul/hos17149929/,"Desain Modern, Bisa Kpr Dp Ringan 10 Menit Teminal Giwangan","Banguntapan, Bantul",3,2,2,78 m²,60 m²
Rp 598 Juta,https://www.rumah123.com/properti/sleman/hos17149895/,"Rumah Murah Blok O Dkt Janti,jln Solo,gedong Kuning,babarsari,shm","Berbah, Sleman",2,1,1,90 m²,40 m²
"Rp 2,2 Miliar",https://www.rumah123.com/properti/sleman/hos17149885/,Villa Asri nan Sejuk area Wisata Kaliurang,"Ngaglik, Sleman",6,4,5,976 m²,250 m²
Rp 675 Juta,https://www.rumah123.com/properti/bantul/hos17149865/,"Rumah Moden di Potorono,bisa Kpr Dp Ringan,10 Menit Gedong Kuning","Banguntapan, Bantul",2,1,1,85 m²,45 m²
Rp 990 Juta,https://www.rumah123.com/properti/bantul/hos17149851/,Rumah Murah Di Janti Dekat Mall Plaza Ambarukmo,"Banguntapan, Bantul",2,2,1,109 m²,75 m²
Rp 950 Juta,https://www.rumah123.com/properti/bantul/hos17149831/,Homestay barat tugu Jogja dekat Malioboro,"Jetis, Bantul",5,5,2,110 m²,170 m²
Rp 690 Juta,https://www.rumah123.com/properti/bantul/hos17149830/,"Desain Modern, Bisa Kpr Dp Ringan 10 Menit Teminal Giwangan","Bantul, Bantul",3,2,,77 m²,60 m²
Rp 808 Juta,https://www.rumah123.com/properti/bantul/hos17149808/,"Bisa Kpr Rumah 2 Lantai Dkt Janti,gedong Kuning,babarsari,jec","Bantul, Bantul",3,2,2,79 m²,70 m²
Rp 800 Juta,https://www.rumah123.com/properti/sleman/hos17149781/,Rumah dalam Perum dekat Westlake resto,"Mlati, Sleman",3,2,1,140 m²,80 m²
"Rp 3,1 Miliar",https://www.rumah123.com/properti/bantul/hos14711511/,Rumah Mewah 2 Lantai di Pondok Permai Kadipiro,"Kasihan, Bantul",5,3,1,146 m²,290 m²
Rp 598 Juta,https://www.rumah123.com/properti/sleman/hos17149758/,Rumah Minimalis 2 Kamar Tidur di Berbah Dekat Blok O Bisa Kpr SHM,"Sleman, Sleman",2,1,1,90 m²,40 m²
"Rp 1,7 Miliar",https://www.rumah123.com/properti/yogyakarta/hos16773076/,"Rumah Bagus Nyaman di Sendangadi, Sleman, Diy. Dekat Ke Ringroad Dan Mall Terbesar di Kota Yogya","Sleman, Yogyakarta",3,2,,135 m²,95 m²
Rp 205 Juta,https://www.rumah123.com/properti/sleman/hos17149725/,Rumah Modern Murah Akses 6.5 Meter Dekat Jl Utama Manisrenggo,"Kalasan, Sleman",1,1,1,60 m²,23 m²
Rp 675 Juta,https://www.rumah123.com/properti/bantul/hos17149715/,Rumah Modern Murah di Potorono Banguntapan Dkat Kotagede Giwangan,"Banguntapan, Bantul",2,1,1,85 m²,45 m²
Rp 495 Juta,https://www.rumah123.com/properti/bantul/hos17066217/,Rumah Dekat Rs Nur Hidayah di Jl Imogiri Timur Km 12 Proses Bangun,"Imogiri              , Bantul",3,1,1,141 m²,60 m²
Rp 475 Juta,https://www.rumah123.com/properti/bantul/hos16578841/,Rumah Dekat Kantor Bupati di Palbapang Bantul Kota Siap Bangun,"Bantul, Bantul",3,2,1,101 m²,70 m²
Rp 500 Juta,https://www.rumah123.com/properti/bantul/hos15212923/,Rumah di Jl Bantul Km 7 Sewon Siap Huni Dekat Wisata Kasongan di Jl Bantul Km 7 Sewon,"Sewon, Bantul",2,1,1,97 m²,55 m²
Rp 299 Juta,https://www.rumah123.com/properti/sleman/hos17149602/,"Promo Rumah Murah 299jt di Yapah, Sukoharjo, Ngaglik, Sleman","Ngaglik, Sleman",2,1,1,88 m²,36 m²
Rp 585 Juta,https://www.rumah123.com/properti/sleman/hos17149532/,Rumah SHM 500 Jutaan Di Kalasan Dekat Pasar Prambanan,"Kalasan, Sleman",3,1,1,111 m²,55 m²
Rp 250 Juta,https://www.rumah123.com/properti/sleman/hos17149526/,Rumah Pesan Bangun Murah 250jt. Luas 88 m² Dekat Polsek Ngemplak,"Ngaglik, Sleman",2,1,1,88 m²,36 m²
